parcel_id,fk_order_id,№ in order,parcel_status,parcel_created_date,qt_in_parcel,coil_name,parcel_name
93,BUF240961610,13,0,2024-11-21,1600.0,,
94,BUF240961610,14,0,2024-11-22,1600.0,,
95,BUF240961610,15,0,2024-11-22,1600.0,,
96,BUF240961610,16,0,2024-11-22,1000.0,,
97,ZNO240991567,1,0,2024-11-08,1100.0,,
98,BIL240991568,1,0,2024-11-08,1500.0,,
99,BIL240991568,2,0,2024-11-08,1500.0,,
100,BIL240991568,3,0,2024-11-08,1500.0,,
101,BIL240991568,4,0,2024-11-08,1500.0,,
102,BIL240991568,5,0,2024-11-11,1000.0,,
103,DEV240701569,1,0,2024-11-08,1500.0,,
104,DEV240701569,2,0,2024-11-10,1500.0,,
105,DEV240701569,3,0,2024-11-12,1500.0,,
106,DEV240701569,4,0,2024-11-12,1500.0,,
107,DEV240701569,5,0,2024-11-12,1500.0,,
108,DEV240701569,6,0,2024-11-13,1500.0,,
109,DEV240701569,7,0,2024-11-13,1000.0,,
110,DEV240701570,1,0,2024-11-08,1500.0,,
111,DEV240701570,2,0,2024-11-10,1500.0,,
112,DEV240701570,3,0,2024-11-10,1500.0,,
113,DEV240701570,4,0,2024-11-10,500.0,,
114,DEV240701571,1,0,2024-11-08,1500.0,,
115,DEV240701571,2,0,2024-11-09,1500.0,,
116,DEV240701571,3,0,2024-11-10,1500.0,,
117,DEV240701571,4,0,2024-11-11,1500.0,,
118,DEV240701571,5,0,2024-11-12,1500.0,,
119,DEV240701571,6,0,2024-11-12,1500.0,,
120,DEV240701571,7,0,2024-11-13,1500.0,,
121,DEV240701571,8,0,2024-11-13,1500.0,,
122,DEV240701571,9,0,2024-11-13,1500.0,,
123,DEV240701571,10,0,2024-11-13,1500.0,,
124,DEV240701571,11,0,2024-11-13,1500.0,,
125,DEV240701571,12,0,2024-11-13,1500.0,,
126,DEV240701571,13,0,2024-11-14,1500.0,,
127,DEV240701571,14,0,2024-11-14,1500.0,,
128,DEV240701571,15,0,2024-11-14,1500.0,,
129,DEV240701571,16,0,2024-11-15,1500.0,,
130,DEV240701571,17,0,2024-11-16,1000.0,,
131,BUF248301572,1,0,2024-11-08,1500.0,,
132,BUF248301572,2,0,2024-11-10,1500.0,,
133,BUF248301572,3,0,2024-11-10,1500.0,,
134,BUF248301572,4,0,2024-11-10,1500.0,,
135,BUF248301572,5,0,2024-11-12,1500.0,,
136,BUF248301572,6,0,2024-11-13,1500.0,,
137,BUF248301572,7,0,2024-11-15,1500.0,,
138,BUF248301572,8,0,2024-11-15,1500.0,,
139,BUF248301572,9,0,2024-11-18,1500.0,,
140,BUF248301572,10,0,2024-11-19,1500.0,,
141,BUF248301572,11,0,2024-11-19,1500.0,,
142,BUF248301572,12,0,2024-11-19,1500.0,,
143,BUF248301572,13,0,2024-11-19,1500.0,,
144,BUF248301572,14,0,2024-11-20,1500.0,,
145,BUF248301572,15,0,2024-11-21,1500.0,,
146,BUF248301572,16,0,2024-11-21,1500.0,,
147,BUF248301572,17,0,2024-11-22,1500.0,,
148,BUF248301572,18,0,2024-11-22,1500.0,,
149,BUF248301572,19,0,2024-11-22,1500.0,,
150,BUF248301572,20,0,2024-11-22,0.0,,
151,VIL240621573,1,0,2024-11-08,1500.0,,
152,VIL240621573,2,0,2024-11-09,1500.0,,
153,VIL240621573,3,0,2024-11-11,1500.0,,
154,VIL240621573,4,0,2024-11-11,1500.0,,
155,VIL240621573,5,0,2024-11-11,1500.0,,
156,VIL240621573,6,0,2024-11-13,1500.0,,
157,VIL240621573,7,0,2024-11-14,1500.0,,
158,VIL240621573,8,0,2024-11-14,1500.0,,
159,VIL240621573,9,0,2024-11-16,1500.0,,
160,VIL240621573,10,0,2024-11-16,1500.0,,
161,VIL240621573,11,0,2024-11-16,1500.0,,
162,VIL240621573,12,0,2024-11-16,1500.0,,
163,VIL240621573,13,0,2024-11-16,1500.0,,
164,VIL240621573,14,0,2024-11-16,1500.0,,
